family_label,diffusion_mode,g_profile,base_profile,sulcus_width_mm,g_sulcus_min,electrode_speed_mm_min,delta_speed_mm_min,delay_sulcus_s,delay_upstream_s,delay_downstream_s,peak_delay_s,control_sulcus_local_speed_mm_min,dipole_sulcus_local_speed_mm_min,delta_sulcus_local_speed_mm_min,control_upstream_local_speed_mm_min,dipole_upstream_local_speed_mm_min,control_downstream_local_speed_mm_min,dipole_downstream_local_speed_mm_min,sulcus_tangent_min,sulcus_normal_min
scalar-flat,scalar,scalar-flat,flat,2.5,0.75,2.655682456468826,-0.34431754353117405,6.797483079526231,0.6877453468697183,12.155499153976308,19.40081641285954,2.975231743042127,2.526058692493915,-0.4491730505482119,2.990198562569401,2.8907231222273206,2.9583003917928448,2.868181989139612,0.75,0.75
scalar-flat,scalar,scalar-flat,flat,2.5,0.85,2.7970814435022677,-0.20291855649773227,3.80659052453467,0.4158460236886583,6.7814890016920515,10.716032148900155,2.975231743042127,2.711695581901094,-0.26353616114103273,2.990198562569401,2.933941358325747,2.9583003917928448,2.9058711718319428,0.85,0.85
scalar-flat,scalar,scalar-flat,flat,2.5,0.95,2.9348230912476723,-0.06517690875232773,1.1995558375634232,0.12795262267346175,2.1112182741117067,3.31077411167513,2.975231743042127,2.8898116766267155,-0.08542006641541144,2.990198562569401,2.974366574782093,2.9583003917928448,2.9405475805048242,0.95,0.95
scalar-flat,scalar,scalar-flat,flat,4.0,0.75,2.5821955215729115,-0.41780447842708845,9.852351945854494,0.7517216582064137,17.801408629441624,25.158684433164154,2.9758635587304463,2.5220736606510927,-0.45378989807935355,2.979075652740868,2.8853100472136584,2.955682324714263,2.862883898263972,0.75,0.75
scalar-flat,scalar,scalar-flat,flat,4.0,0.85,2.7456445993031355,-0.25435540069686446,5.485968697123525,0.44783417935701664,9.868346023688673,13.802889170896776,2.9758635587304463,2.709360718602145,-0.26650284012830117,2.979075652740868,2.924864787232008,2.955682324714263,2.9014351894870596,0.85,0.85
scalar-flat,scalar,scalar-flat,flat,4.0,0.95,2.918518518518519,-0.08148148148148104,1.7113663282571991,0.1439467005076196,3.070862944162428,4.23843062605755,2.9758635587304463,2.888676261255234,-0.08718729747521214,2.979075652740868,2.959059552678692,2.955682324714263,2.937751096300236,0.95,0.95
scalar-flat,scalar,scalar-flat,flat,5.5,0.75,2.551997121266643,-0.448002878733357,12.859238578680184,0.8077009306260621,23.399335871404418,30.0688663282572,2.975231743042127,2.518717492847746,-0.4565142501943811,2.9663819961316658,2.8754715682575185,2.953643219728729,2.860968368459375,0.75,0.75
scalar-flat,scalar,scalar-flat,flat,5.5,0.85,2.7340015420200463,-0.2659984579799537,7.133358714043993,0.4798223350253856,12.923214890016936,16.47390016920471,2.975231743042127,2.7084690513218774,-0.26676269172024947,2.9663819961316658,2.9084463899345017,2.953643219728729,2.898467500421484,0.85,0.85
scalar-flat,scalar,scalar-flat,flat,5.5,0.95,2.9137222678718158,-0.08627773212818424,2.2231768189509182,0.15994077834179166,4.014513536379013,5.054128595600702,2.975231743042127,2.8886762612552435,-0.08655548178688344,2.9663819961316658,2.9420732356918067,2.953643219728729,2.935074862147494,0.95,0.95
scalar-gaussian,scalar,scalar-gaussian,gaussian,2.5,0.75,2.69248291571754,-0.30751708428245994,5.8378384094754665,0.4638282571911958,10.380156514382392,17.033692893401025,2.975231743042127,2.5985679093877785,-0.3766638336543484,2.990198562569401,2.8993871599486885,2.9583003917928448,2.882487225381784,0.7500000128375718,0.7500000128375718
