family_label,diffusion_mode,g_profile,base_profile,sulcus_width_mm,g_sulcus_min,electrode_speed_mm_min,delta_speed_mm_min,delay_sulcus_s,delay_upstream_s,delay_downstream_s,peak_delay_s,control_sulcus_local_speed_mm_min,dipole_sulcus_local_speed_mm_min,delta_sulcus_local_speed_mm_min,control_upstream_local_speed_mm_min,dipole_upstream_local_speed_mm_min,control_downstream_local_speed_mm_min,dipole_downstream_local_speed_mm_min,sulcus_tangent_min,sulcus_normal_min
scalar-flat,scalar,scalar-flat,flat,2.5,0.75,2.550607287449392,-0.44939271255060786,6.04099470899471,0.1335026455026469,11.180846560846568,13.216761904761896,2.834787988517996,2.4036691862346746,-0.4311188022833212,2.8199485247491496,2.772823984905642,2.818302016450758,2.7712791807346795,0.75,0.75
scalar-flat,scalar,scalar-flat,flat,2.5,0.85,2.741779497098645,-0.2582205029013549,3.3375661375661423,0.0834391534391532,6.174497354497355,7.22583068783068,2.834787988517996,2.583494714798265,-0.25129327371973087,2.8199485247491496,2.79151281416201,2.818302016450758,2.7897476211823413,0.85,0.85
scalar-flat,scalar,scalar-flat,flat,2.5,0.95,2.915167095115681,-0.08483290488431905,1.0346455026455033,0.03337566137566128,1.9191005291005183,2.2361693121693236,2.834787988517996,2.7533442846691853,-0.0814437038488105,2.8199485247491496,2.805371715529531,2.818302016450758,2.8081619220075247,0.95,0.95
scalar-flat,scalar,scalar-flat,flat,4.0,0.75,2.5335120643431632,-0.46648793565683677,7.843280423280426,0.13350264550264512,15.152550264550285,18.506804232804257,2.829976202661961,2.4018449731986333,-0.4281312294633275,2.8107135202350086,2.7437271809662054,2.8182370818580047,2.7579474709970353,0.75,0.75
scalar-flat,scalar,scalar-flat,flat,4.0,0.85,2.7351664254703323,-0.2648335745296677,4.288772486772487,0.0834391534391532,8.293851851851855,10.129513227513257,2.829976202661961,2.5814629277780936,-0.2485132748838672,2.8107135202350086,2.770250755227016,2.8182370818580047,2.7818350539332903,0.85,0.85
scalar-flat,scalar,scalar-flat,flat,4.0,0.95,2.913669064748201,-0.08633093525179891,1.3183386243386224,0.03337566137566128,2.553238095238086,3.120624338624367,2.829976202661961,2.748754032157704,-0.08122217050425684,2.8107135202350086,2.796987252901891,2.8182370818580047,2.805147575861966,0.95,0.95
scalar-flat,scalar,scalar-flat,flat,5.5,0.75,2.5437415881561236,-0.4562584118438764,8.444042328042329,0.20025396825396946,17.37203174603176,22.011248677248687,2.826061427894216,2.3998110527668355,-0.42625037512738073,2.809168865551226,2.7115090140084077,2.8182370818580202,2.7166125260505183,0.75,0.75
scalar-flat,scalar,scalar-flat,flat,5.5,0.85,2.733847637415622,-0.266152362584378,4.589153439153442,0.11681481481481626,9.49537566137564,11.965174603174631,2.826061427894216,2.578117622149996,-0.24794380574422004,2.809168865551226,2.753425292699882,2.8182370818580202,2.7583633954798326,0.85,0.85
scalar-flat,scalar,scalar-flat,flat,5.5,0.95,2.913669064748201,-0.08633093525179891,1.401777777777781,0.05006349206348659,2.9036825396825634,3.6546349206349475,2.826061427894216,2.746086963961706,-0.07997446393251018,2.809168865551226,2.789863116073803,2.8182370818580202,2.798490696522944,0.95,0.95
scalar-gaussian,scalar,scalar-gaussian,gaussian,2.5,0.75,2.599724896836314,-0.4002751031636862,5.356793650793648,0.267005291005292,9.970978835978848,12.165428571428606,2.834787988517996,2.4766447189863876,-0.35814326953160824,2.8199485247491496,2.746517580594257,2.818302016450758,2.7449763079669225,0.7500014276683767,0.7500014276683767
scalar-gaussian,scalar,scalar-gaussian,gaussian,2.5,0.85,2.7645051194539247,-0.23549488054607526,2.9871216931216864,0.1668783068783064,5.573735449735459,6.825322751322773,2.834787988517996,2.6278020286176136,-0.20698595990038227,2.8199485247491496,2.7757041959995647,2.818302016450758,2.775652498821665,0.850000856601026,0.850000856601026
scalar-gaussian,scalar,scalar-gaussian,gaussian,2.5,0.95,2.9317476732161323,-0.06825232678386772,0.9345185185185159,0.05006349206349281,1.7522222222222155,2.1527301587301793,2.834787988517996,2.765954055219882,-0.06883393329811405,2.8199485247491496,2.8015686561893984,2.818302016450758,2.8039317626491655,0.9500002855336753,0.9500002855336753
scalar-gaussian,scalar,scalar-gaussian,gaussian,4.0,0.75,2.5667722951561784,-0.43322770484382156,6.791947089947094,0.5173227513227516,13.61726984126986,16.83802116402117,2.829976202661961,2.473953639997766,-0.35602256266419463,2.8107135202350086,2.676442273665878,2.8182370818580047,2.6795064247857865,0.75000055768393,0.75000055768393
scalar-gaussian,scalar,scalar-gaussian,gaussian,4.0,0.85,2.7417794970986455,-0.25822050290135445,3.746417989417992,0.3003809523809533,7.542899470899471,9.345185185185187,2.829976202661961,2.627135523396761,-0.20284067926519977,2.8107135202350086,2.7302361339320846,2.8182370818580047,2.7363869405574106,0.850000334610358,0.850000334610358
scalar-gaussian,scalar,scalar-gaussian,gaussian,4.0,0.95,2.921174652241113,-0.07882534775888717,1.159804232804234,0.10012698412698384,2.3529841269841256,2.9036825396825634,2.829976202661961,2.762268065673567,-0.06770813698839362,2.8107135202350086,2.7839503126896403,2.8182370818580047,2.7917757788523985,0.950000111536786,0.950000111536786
scalar-gaussian,scalar,scalar-gaussian,gaussian,5.5,0.75,2.549460431654676,-0.45053956834532416,7.492835978835977,0.584074074074076,15.920190476190477,19.42463492063493,2.826061427894216,2.466143006681647,-0.35991842121256923,2.809168865551226,2.6319267737140644,2.8182370818580202,2.634565827637395,0.7500002949734733,0.7500002949734733
scalar-gaussian,scalar,scalar-gaussian,gaussian,5.5,0.85,2.7470930232558137,-0.2529069767441863,4.105206349206355,0.3504444444444452,8.794486772486778,10.696899470899496,2.826061427894216,2.621647436800487,-0.20441399109372904,2.809168865551226,2.707066956352681,2.8182370818580202,2.7102953755354684,0.8500001769840839,0.8500001769840839
scalar-gaussian,scalar,scalar-gaussian,gaussian,5.5,0.95,2.9181677817807516,-0.08183221821924835,1.2682751322751287,0.11681481481481448,2.7201164021164175,3.3041904761904846,2.826061427894216,2.7595208658244124,-0.06654056206980385,2.809168865551226,2.773318866937002,2.8182370818580202,2.784148534437695,0.9500000589946946,0.9500000589946946
tensor-flat,tensor,tensor-flat,flat,2.5,0.75,2.6557377049180326,-0.3442622950819674,4.589153439153442,0.06675132275132256,9.111555555555555,10.530021164021193,2.834787988517996,2.4764390943630312,-0.3583488941549646,2.8199485247491496,2.784628626630147,2.818302016450758,2.7825743303877593,0.9,0.75
tensor-flat,tensor,tensor-flat,flat,2.5,0.85,2.7999999999999994,-0.20000000000000062,2.5532380952380933,0.050063492063490145,5.073100529100529,5.857428571428613,2.834787988517996,2.618742571571843,-0.21604541694615298,2.8199485247491496,2.7968180026557317,2.818302016450758,2.796056756587563,0.94,0.85
tensor-flat,tensor,tensor-flat,flat,2.5,0.95,2.930232558139535,-0.0697674418604648,0.8010158730158707,0.01668783068783064,1.5853439153439126,1.835661375661374,2.834787988517996,2.7610053712531455,-0.07378261726485036,2.8199485247491496,2.809683467451322,2.818302016450758,2.8097156400134065,0.98,0.95
tensor-flat,tensor,tensor-flat,flat,4.0,0.75,2.6470588235294112,-0.35294117647058876,5.790677248677252,0.06675132275132256,12.298931216931223,14.651915343915334,2.829976202661961,2.484437245378481,-0.34553895728347994,2.8107135202350086,2.7670903651189773,2.8182370818580047,2.771557074980878,0.9,0.75
tensor-flat,tensor,tensor-flat,flat,4.0,0.85,2.798617966436327,-0.2013820335636729,3.204063492063497,0.03337566137566128,6.825322751322744,8.143661375661395,2.829976202661961,2.6244570854757714,-0.20551911718618943,2.8107135202350086,2.784388554244982,2.8182370818580047,2.7893278416574865,0.94,0.85
tensor-flat,tensor,tensor-flat,flat,4.0,0.95,2.939346811819595,-0.06065318818040488,1.0012698412698349,0.01668783068783064,2.119354497354493,2.5365502645502715,2.829976202661961,2.762696145726755,-0.06728005693520567,2.8107135202350086,2.8010266243670827,2.8182370818580047,2.8074127744261244,0.98,0.95
tensor-flat,tensor,tensor-flat,flat,5.5,0.75,2.6619718309859155,-0.3380281690140845,6.091058201058203,0.10012698412698384,14.551788359788361,17.288592592592607,2.826061427894216,2.487475194282398,-0.33858623361181817,2.809168865551226,2.753819057731054,2.8182370818580202,2.738906596450193,0.9,0.75
tensor-flat,tensor,tensor-flat,flat,5.5,0.85,2.7999999999999994,-0.20000000000000062,3.387629629629629,0.0500634920634937,8.060222222222222,9.628878306878306,2.826061427894216,2.626434486553487,-0.19962694134072922,2.809168865551226,2.7758179374175547,2.8182370818580202,2.7711145543630598,0.94,0.85
tensor-flat,tensor,tensor-flat,flat,5.5,0.95,2.939346811819595,-0.06065318818040488,1.0513333333333321,0.01668783068783064,2.5031746031745996,3.0038095238095366,2.826061427894216,2.7595818256862517,-0.06647960220796456,2.809168865551226,2.7966065070402863,2.8182370818580202,2.8023344143324675,0.98,0.95
tensor-gaussian,tensor,tensor-gaussian,gaussian,2.5,0.75,2.7051526717557253,-0.29484732824427473,4.055142857142862,0.150190476190474,8.093597883597894,9.729005291005308,2.834787988517996,2.535952901518973,-0.29883508699902306,2.8199485247491496,2.767971710306131,2.818302016450758,2.7619522340007086,0.9000005710673507,0.7500014276683767
tensor-gaussian,tensor,tensor-gaussian,gaussian,2.5,0.85,2.8364182091045524,-0.16358179089544755,2.286232804232803,0.08343915343915498,4.5557777777777915,5.4902962962963215,2.834787988517996,2.6573678171775414,-0.1774201713404544,2.8199485247491496,2.785882211009356,2.818302016450758,2.784962756198918,0.9400003426404104,0.850000856601026
tensor-gaussian,tensor,tensor-gaussian,gaussian,2.5,0.95,2.9423975090814736,-0.05760249091852643,0.7175767195767193,0.03337566137566128,1.4351534391534386,1.7355343915344008,2.834787988517996,2.7722881578780694,-0.06249983063992648,2.8199485247491496,2.8077230760098333,2.818302016450758,2.805574554157645,0.9800001142134701,0.9500002855336753
