kinetics_model,target_tangent_normal_ratio,resolved_eta,electrode_speed_mm_min,anisotropy_gain_mm_min
barkley,1.05,0.8499999999999996,2.608791613021888,0.026596091448976455
barkley,1.1,0.6999999999999997,2.635451505016723,0.05325598344381133
barkley,1.15,0.5500000000000003,2.663161847540368,0.08096632596745668
barkley,1.2,0.40000000000000036,2.6889099526066356,0.10671443103372402
barkley,1.25,0.25,2.7136024488234165,0.13140692725050496
barkley,1.3,0.09999999999999964,2.7376954255935146,0.1554999040206031
potassium_buffer,1.05,0.8499999999999996,3.252923076923078,-0.018622644877944072
potassium_buffer,1.1,0.6999999999999997,3.235501147666413,-0.03604457413460915
potassium_buffer,1.15,0.5500000000000003,3.218754757192876,-0.05279096460814614
potassium_buffer,1.2,0.40000000000000036,3.2007266121707545,-0.07081910963026772
potassium_buffer,1.25,0.25,3.180983902512412,-0.0905618192886104
potassium_buffer,1.3,0.09999999999999964,3.162428956027521,-0.10911676577350127
