kinetics_model,target_tangent_normal_ratio,resolved_eta,electrode_speed_mm_min,anisotropy_gain_mm_min
barkley,1.05,0.8499999999999996,2.608791613021888,0.026596091448976455
barkley,1.1,0.6999999999999997,2.635451505016723,0.05325598344381133
barkley,1.15,0.5500000000000003,2.663161847540368,0.08096632596745668
barkley,1.2,0.40000000000000036,2.6889099526066356,0.10671443103372402
barkley,1.25,0.25,2.7136024488234165,0.13140692725050496
barkley,1.3,0.09999999999999964,2.7376954255935146,0.1554999040206031
potassium_buffer,1.05,0.8499999999999996,2.6329475186300937,0.02522138797682638
potassium_buffer,1.1,0.6999999999999997,2.6585196648700578,0.05079353421679045
potassium_buffer,1.15,0.5500000000000003,2.6841594827586213,0.07643335210535396
potassium_buffer,1.2,0.40000000000000036,2.7070586317448244,0.09933250109155711
potassium_buffer,1.25,0.25,2.7287067973927814,0.12098066673951413
potassium_buffer,1.3,0.09999999999999964,2.7491860272611888,0.14145989660792146
