patch_label,patch_category,patch_vertices,patch_faces,mean_sulcal_depth,mean_thickness_mm,baseline_traversal_speed_mm_min,dipole_traversal_speed_mm_min,baseline_downstream_arrival_s,dipole_downstream_arrival_s,baseline_inner_delay_s,dipole_inner_delay_s,speed_slowdown_mm_min,delay_increase_s,baseline_max_abs_potential_mV,dipole_max_abs_potential_mV
atlas_sulcal_patch_0,sulcal,112,186,0.7329860604770896,4.373381786316821,7.682000965845882,7.544822377170062,155.69457017609332,158.47483035780928,2.78026018171596,5.56052036343192,0.13717858867581967,2.78026018171596,29.278588280100315,36.57237678536478
atlas_sulcal_patch_1,sulcal,195,340,0.5185024497159967,2.2291708286036807,8.3080893631771,8.269266515685617,158.95936497548672,159.70216574640023,1.4856015418269806,2.228402312740485,0.038822847491482904,0.7428007709135045,34.06800172743044,40.35932683316139
atlas_sulcal_patch_2,sulcal,106,176,0.6265225127351061,3.7425627029421387,8.82789799775995,8.56038593722177,153.13673367781297,157.7772407589588,0.0,4.6405070811458415,0.2675120605381789,4.6405070811458415,32.97760443775605,36.58524561593139
atlas_sulcal_patch_3,sulcal,250,443,0.4719362386232487,2.930987806675955,8.332754199646274,8.288431039009858,159.04739450268474,159.89339128195434,0.8459967792695977,-1.6919935585391954,0.0443231606364165,0.8459967792695977,31.83149995235268,27.801393341917926
atlas_sulcal_patch_4,sulcal,166,288,0.48743885011831084,3.39111574393369,8.015757311339925,7.915560344948176,157.60061962481768,159.5706273701279,1.9700077453101983,3.940015490620425,0.10019696639174924,1.9700077453102267,33.042260989381326,29.983575635187123
atlas_sulcal_patch_5,sulcal,139,236,0.555287119500348,0.0,7.164715750283376,7.088495369961213,157.71765915285695,159.3955065906533,0.0,1.6778474377963448,0.07622038032216327,1.6778474377963448,31.24998039956185,25.43157479190399
atlas_sulcal_patch_6,sulcal,144,244,0.4857205827316506,2.326501996112465,7.8617205753606605,7.8617205753606605,156.40662113431247,156.40662113431247,0.0,-6.173945571091281,0.0,0.0,33.17824626972725,58.96323440574449
atlas_sulcal_patch_7,sulcal,220,382,0.4700736827284575,2.8848859844469974,8.553816774995925,8.488018184419033,159.575236060178,160.8074772652759,1.2322412050978926,4.928964820391599,0.06579859057689141,1.2322412050978926,32.95235256769323,48.52682813758921
atlas_flat_patch_0,flat,257,452,0.0008266429256140623,2.2736072837308594,7.7069283394563435,7.8026665796980375,160.3553363733942,159.37755993209302,3.422217544554144,7.333323309758896,-0.09573824024169397,-0.977776441301188,27.705092333014463,25.014464487742735
atlas_flat_patch_1,flat,268,476,0.013774061782932272,2.353148844970486,8.642988174426584,8.730882969420753,160.51874357480952,158.90818761920943,0.5368519852000304,9.663335733600576,-0.08789479499416863,-1.6105559556000912,33.58338002769994,45.80625536363979
atlas_flat_patch_2,flat,198,339,0.011758009862482138,2.467637189854917,7.706464244673455,8.030095289069193,160.59395439653238,154.9590788036716,12.074733413273123,13.68469786837619,-0.32363104439573753,-5.634875592860794,26.984231262709425,29.910884149262273
atlas_flat_patch_3,flat,269,469,0.0,2.6461709630470227,8.534285167453772,8.461837924945677,160.2085195233436,161.57548641347452,0.0,-5.194474182497487,0.07244724250809575,1.366966890130925,31.34867373470822,38.96693768662377
atlas_flat_patch_4,flat,237,416,0.0,2.0595534879373876,8.458536474892083,8.61753152141261,160.43447692349545,157.48531374475473,0.589832635748138,1.1796652714963045,-0.15899504652052698,-2.9491631787407186,32.91132184433748,33.447651515660155
atlas_flat_patch_5,flat,264,470,0.0022823786437989675,2.6746185445119806,8.261865879673866,8.139467866641661,160.71477235719496,163.1224843026211,0.3009639931782715,-2.106747952247872,0.1223980130322051,2.4077119454261435,33.251357389669934,36.444976048799155
atlas_flat_patch_6,flat,202,349,0.09559631834287559,2.414256751124489,8.326636788274033,8.612186746719646,159.96095059713326,154.89622392915015,2.954423889656823,6.752968890644155,-0.28554995844561226,-5.064726667983109,31.844848763576902,32.90399963848631
atlas_flat_patch_7,flat,239,421,0.0046061606419495115,2.093327123179766,8.672662724982708,8.937476853989812,160.6222053955626,155.8805904761364,0.5927018649282729,-7.1124223791393035,-0.2648141290071049,-4.741614919426183,34.26367372925532,55.81886552438357
