fold_depth_mm,fold_sigma_mm,fold_severity,mesh_vertices,mesh_faces,baseline_arrival_speed_mm_min,dipole_arrival_speed_mm_min,baseline_cross_fold_delay_s,dipole_cross_fold_delay_s,baseline_deep_edge_speed_mm_min,dipole_deep_edge_speed_mm_min,baseline_max_abs_potential_au,dipole_max_abs_potential_au,speed_slowdown_mm_min,delay_increase_s,deep_edge_speed_slowdown_mm_min
0.0,1.5,0.0,1248,2346,3.2816987504036814,3.2816987504036814,70.6186244823478,70.6186244823478,7.2703394084906705,7.2703394084906705,17.927180991981984,17.927180991981984,0.0,0.0,0.0
1.2,1.1,1.0909090909090908,1248,2346,2.1260017072106017,2.0024874268740294,149.60372064552507,158.83134207436515,15.793425345739664,12.830423797814884,22.7848480085003,24.02265693984202,0.1235142803365723,9.22762142884008,2.9630015479247795
1.2,1.5,0.7999999999999999,1248,2346,2.2287165571267367,2.046868873009548,138.5396733750706,150.7101759808764,35.51499129637094,29.80862226831272,21.893424692614143,23.607137578673743,0.18184768411718855,12.17050260580578,5.706369028058216
1.2,1.9,0.631578947368421,1248,2346,2.3134257045227984,2.1335061016487185,130.54200493990035,141.37750732621618,45.62023639564517,50.16190227147274,21.277528636945817,23.005716119072797,0.17991960287407993,10.835502386315824,-4.541665875827569
1.8,1.1,1.6363636363636362,1248,2346,2.4828473376269056,2.2947973617593056,142.19257404150756,153.89058345422228,23.74796529627324,16.65440605061812,22.536738343676237,24.71934819616616,0.18804997586759997,11.698009412714725,7.093559245655118
1.8,1.5,1.2,1248,2346,2.4686989100510575,2.237677456493193,134.9890656556348,149.05650068346282,39.4551443557833,29.59135826683753,21.89048611112054,24.459092772313614,0.2310214535578643,14.067435027828026,9.863786088945766
1.8,1.9,0.9473684210526316,1248,2346,2.4874180132210326,2.256122501896016,128.36287565380778,142.10812313314472,43.77983785210004,45.086888437722074,21.238169902987906,23.733881050496883,0.2312955113250168,13.745247479336939,-1.3070505856220365
2.4,1.1,2.1818181818181817,1248,2346,2.8675381921759646,2.6140732315476938,137.97840321696407,151.42021711645765,29.30837797595113,17.538099539866973,22.37371019123525,25.831619704400154,0.25346496062827084,13.441813899493582,11.770278436084158
2.4,1.5,1.5999999999999999,1248,2346,2.7566886833119946,2.4765233340669863,132.1743399708635,147.33830175461395,45.31020613612357,29.33886105292113,21.77251274549256,25.214395532622724,0.28016534924500824,15.163961783750437,15.97134508320244
2.4,1.9,1.263157894736842,1248,2346,2.6915167476745046,2.391662269921855,126.14757373732161,141.79550910391467,49.857572193994514,45.92709392768134,21.224938294740976,24.532869962807364,0.29985447775264973,15.64793536659306,3.930478266313173
3.0,1.1,2.727272727272727,1248,2346,3.2718282882193512,2.9873214805481028,135.8713319963014,148.87719746546605,29.717925654348356,17.453528127527694,22.32069374629001,26.71041989724121,0.2845068076712485,13.005865469164661,12.264397526820662
3.0,1.5,2.0,1248,2346,3.0579831863254836,2.7337688758319674,130.1683558305134,145.91982073773522,35.88781852615848,24.931189109891097,21.753620477314833,26.144637590166028,0.32421431049351623,15.751464907221816,10.956629416267386
3.0,1.9,1.5789473684210527,1248,2346,2.884455010208954,2.5518707112790286,124.33041342377217,141.09155363967915,64.84191901872194,42.89341362465107,21.367302485181707,25.4396151151037,0.33258429892992547,16.761140215906977,21.94850539407087
