feedback_level,constriction_level,anisotropy_level,case_label,final_t_end_s,arrival_speed_mm_min,e1_arrival_s,e2_arrival_s,cross_fold_delay_s,e1_to_e2_geodesic_mm,median_edge_speed_mm_min,deep_edge_speed_mm_min,shallow_edge_speed_mm_min,min_perfusion,min_oxygen,crossed_fraction,a_con0,anisotropy_ratio,clearance_perfusion_gain,clearance_oxygen_gain,threshold_baseline_vulnerability_gain,threshold_constriction_gain
weak,weak,off,surface_scalar_vascular,180.0,3.907536104804082,16.938406428162146,102.40624344354518,85.46783701538303,5.566144315618666,7.2921586994143786,5.401456381395295,7.8811143050061085,0.5999313304910919,0.2,0.8694196428571429,0.16,1.0,0.14,0.05,0.05,0.025
weak,weak,low,surface_tensor_vascular,180.0,3.893316285531659,16.500997936897225,102.28099484550035,85.77999690860312,5.566144315618666,7.416587878010432,5.544638199577111,8.075878040505502,0.5999311841976985,0.2,0.8800223214285714,0.16,1.05,0.14,0.05,0.05,0.025
weak,weak,high,surface_tensor_vascular,180.0,3.8744589286533855,15.184459602656046,101.3819558432975,86.19749624064146,5.566144315618666,7.646706840380501,6.117365472304376,8.367822455275952,0.5999612623138688,0.2,0.9118303571428571,0.16,1.25,0.14,0.05,0.05,0.025
weak,strong,off,surface_scalar_vascular,180.0,3.907536104804082,16.938406428162146,102.40624344354518,85.46783701538303,5.566144315618666,7.2921586994143786,5.401456381395295,7.8811143050061085,0.25,0.2,0.8694196428571429,0.3,1.0,0.14,0.05,0.05,0.025
weak,strong,low,surface_tensor_vascular,180.0,3.893316285531659,16.500997936897225,102.28099484550035,85.77999690860312,5.566144315618666,7.416587878010432,5.544638199577111,8.075878040505502,0.25,0.2,0.8800223214285714,0.3,1.05,0.14,0.05,0.05,0.025
weak,strong,high,surface_tensor_vascular,180.0,3.8744589286533855,15.184459602656046,101.3819558432975,86.19749624064146,5.566144315618666,7.646706840380501,6.117365472304376,8.367822455275952,0.25,0.2,0.9118303571428571,0.3,1.25,0.14,0.05,0.05,0.025
strong,weak,off,surface_scalar_vascular,180.0,3.7872160781165656,17.067707240590863,105.250861316977,88.18315407638613,5.566144315618666,7.012678586940748,5.401456381395288,7.859054548628803,0.59994897692544,0.2,0.8627232142857143,0.16,1.0,0.28,0.12,0.11,0.055
strong,weak,low,surface_tensor_vascular,180.0,3.7822373615507274,16.62695975320942,104.9261929880564,88.29923323484698,5.566144315618666,7.045138126109192,5.544638199577111,8.027568528931514,0.5999488753378406,0.2,0.8722098214285714,0.16,1.05,0.28,0.12,0.11,0.055
strong,weak,high,surface_tensor_vascular,180.0,3.764757388845953,15.412797341041852,104.12200870392718,88.70921136288533,5.566144315618666,7.646706840380462,6.117365472304376,8.341862007687816,0.5999595507571152,0.2,0.9045758928571429,0.16,1.25,0.28,0.12,0.11,0.055
strong,strong,off,surface_scalar_vascular,180.0,3.7872160781165656,17.067707240590863,105.250861316977,88.18315407638613,5.566144315618666,7.0126785869407495,5.401456381395288,7.875607085591305,0.25,0.2,0.8627232142857143,0.3,1.0,0.28,0.12,0.11,0.055
strong,strong,low,surface_tensor_vascular,180.0,3.7822373615507274,16.62695975320942,104.9261929880564,88.29923323484698,5.566144315618666,7.045138126109192,5.544638199577111,8.027568528931514,0.25,0.2,0.8722098214285714,0.3,1.05,0.28,0.12,0.11,0.055
strong,strong,high,surface_tensor_vascular,180.0,3.764757388845953,15.412797341041852,104.12200870392718,88.70921136288533,5.566144315618666,7.646706840380462,6.117365472304376,8.341862007687816,0.25,0.2,0.9045758928571429,0.3,1.25,0.28,0.12,0.11,0.055
