geometry,requested_depth_mm,requested_sigma_mm,profile_index,y_mm,z_mm
flat_control,0.0,1.5,0,-5.0,0.0
flat_control,0.0,1.5,1,-4.62962962962963,0.0
flat_control,0.0,1.5,2,-4.2592592592592595,0.0
flat_control,0.0,1.5,3,-3.888888888888889,0.0
flat_control,0.0,1.5,4,-3.5185185185185186,0.0
flat_control,0.0,1.5,5,-3.1481481481481484,0.0
flat_control,0.0,1.5,6,-2.7777777777777777,0.0
flat_control,0.0,1.5,7,-2.4074074074074074,0.0
flat_control,0.0,1.5,8,-2.037037037037037,0.0
flat_control,0.0,1.5,9,-1.666666666666667,0.0
flat_control,0.0,1.5,10,-1.2962962962962967,0.0
flat_control,0.0,1.5,11,-0.9259259259259265,0.0
flat_control,0.0,1.5,12,-0.5555555555555554,0.0
flat_control,0.0,1.5,13,-0.18518518518518512,0.0
flat_control,0.0,1.5,14,0.18518518518518512,0.0
flat_control,0.0,1.5,15,0.5555555555555554,0.0
flat_control,0.0,1.5,16,0.9259259259259256,0.0
flat_control,0.0,1.5,17,1.2962962962962958,0.0
flat_control,0.0,1.5,18,1.666666666666666,0.0
flat_control,0.0,1.5,19,2.0370370370370363,0.0
flat_control,0.0,1.5,20,2.4074074074074066,0.0
flat_control,0.0,1.5,21,2.7777777777777777,0.0
flat_control,0.0,1.5,22,3.148148148148147,0.0
flat_control,0.0,1.5,23,3.5185185185185173,0.0
flat_control,0.0,1.5,24,3.8888888888888893,0.0
flat_control,0.0,1.5,25,4.2592592592592595,0.0
flat_control,0.0,1.5,26,4.62962962962963,0.0
flat_control,0.0,1.5,27,5.0,0.0
depth_1.2_sigma_1.1,1.2,1.1,0,-5.0,-3.9144252415993675e-05
depth_1.2_sigma_1.1,1.2,1.1,1,-4.62962962962963,-0.0001708910330752594
depth_1.2_sigma_1.1,1.2,1.1,2,-4.2592592592592595,-0.0006660944789167499
depth_1.2_sigma_1.1,1.2,1.1,3,-3.888888888888889,-0.0023180226722142724
depth_1.2_sigma_1.1,1.2,1.1,4,-3.5185185185185186,-0.007202193937507124
depth_1.2_sigma_1.1,1.2,1.1,5,-3.1481481481481484,-0.019979160268948037
depth_1.2_sigma_1.1,1.2,1.1,6,-2.7777777777777777,-0.0494828763611802
depth_1.2_sigma_1.1,1.2,1.1,7,-2.4074074074074074,-0.1094203070474079
depth_1.2_sigma_1.1,1.2,1.1,8,-2.037037037037037,-0.21602609167322787
depth_1.2_sigma_1.1,1.2,1.1,9,-1.666666666666667,-0.38078494953001835
depth_1.2_sigma_1.1,1.2,1.1,10,-1.2962962962962967,-0.5992646053777022
depth_1.2_sigma_1.1,1.2,1.1,11,-0.9259259259259265,-0.8420206980791726
depth_1.2_sigma_1.1,1.2,1.1,12,-0.5555555555555554,-1.0563119517018718
