geometry,requested_depth_mm,sampled_max_depth_mm,depth_sampling_error_mm,requested_sigma_mm,fitted_sigma_from_sampled_coordinates_mm,analytic_FWHM_mm,sampled_interpolated_FWHM_mm,profile_numerical_points
flat_control,0.0,-0.0,-0.0,1.5,nan,nan,nan,28
depth_1.2_sigma_1.1,1.2,1.1831148538246679,-0.0168851461753321,1.1,1.0999999999999996,2.5903020495340443,2.5903486251963663,28
depth_1.2_sigma_1.5,1.2,1.1908898100938685,-0.009110189906131438,1.5,1.4999999999999993,3.5322300675464238,3.539292631372161,28
depth_1.2_sigma_1.9,1.2,1.1943137554811203,-0.005686244518879668,1.9,1.9000000000000021,4.474158085558804,4.479849892416886,28
depth_1.8_sigma_1.1,1.8,1.7746722807370021,-0.025327719262997928,1.1,1.1,2.5903020495340443,2.590348625196366,28
depth_1.8_sigma_1.5,1.8,1.786334715140803,-0.013665284859196936,1.5,1.5000000000000002,3.5322300675464238,3.5392926313721604,28
depth_1.8_sigma_1.9,1.8,1.7914706332216803,-0.008529366778319725,1.9,1.9000000000000004,4.474158085558804,4.479849892416886,28
depth_2.4_sigma_1.1,2.4,2.3662297076493357,-0.0337702923506642,1.1,1.0999999999999996,2.5903020495340443,2.5903486251963663,28
depth_2.4_sigma_1.5,2.4,2.381779620187737,-0.018220379812262877,1.5,1.4999999999999993,3.5322300675464238,3.539292631372161,28
depth_2.4_sigma_1.9,2.4,2.3886275109622406,-0.011372489037759337,1.9,1.9000000000000021,4.474158085558804,4.479849892416886,28
depth_3.0_sigma_1.1,3.0,2.95778713456167,-0.04221286543833003,1.1,1.1,2.5903020495340443,2.5903486251963663,28
depth_3.0_sigma_1.5,3.0,2.9772245252346714,-0.022775474765328596,1.5,1.4999999999999993,3.5322300675464238,3.539292631372161,28
depth_3.0_sigma_1.9,3.0,2.9857843887028004,-0.014215611297199615,1.9,1.899999999999999,4.474158085558804,4.479849892416886,28
