geometry,depth,sigma,region,mean_DeltaT,median_DeltaT,minimum_DeltaT,maximum_DeltaT,local_speed_difference,segment_speed_difference,curvature_summary,sign_of_effect,materiality_tolerance_s,n_path_vertices
depth_1.2_sigma_1.1,1.2,1.1,pre-fold flatter region,-0.010379776635365903,0.0,-0.07265843644756131,0.0,20.17467005976153,0.5955554471325488,mean=-0.095865532; min=-0.32338715; max=-0.00063605063 mm^-1,no material difference,0.07265843644755954,7
depth_1.2_sigma_1.1,1.2,1.1,first shoulder/curvature-transition region,0.0,0.0,0.0,0.0,0.0025736428044267345,0.0,mean=-0.28945469; min=-0.35350329; max=-0.2254061 mm^-1,no material difference,0.07265843644755954,2
depth_1.2_sigma_1.1,1.2,1.1,first sulcal bank,-0.03632921822378066,-0.03632921822378066,-0.14531687289512263,0.07265843644756131,0.006426004654890849,0.003193439859875302,mean=0.18733485; min=0.0083237911; max=0.3663459 mm^-1,no material difference,0.07265843644755954,2
depth_1.2_sigma_1.1,1.2,1.1,fundus,0.39962140046157657,0.39962140046157657,-1.5984856018463063,2.3977284027694594,-0.09677213187158473,-0.049475153202581,mean=0.87523481; min=0.87523481; max=0.87523481 mm^-1,slowing,0.07265843644755954,2
depth_1.2_sigma_1.1,1.2,1.1,opposite bank,5.957991788699886,5.957991788699886,5.522041170014518,6.3939424073852535,-0.611583571307636,-0.21848567764145277,mean=0.18733485; min=0.0083237911; max=0.3663459 mm^-1,slowing,0.07265843644755954,2
depth_1.2_sigma_1.1,1.2,1.1,second shoulder/curvature-transition region,9.954205793315666,9.954205793315666,8.428378627916914,11.480032958714418,-1.7092449838019013,-14.12990404297419,mean=-0.28945469; min=-0.35350329; max=-0.2254061 mm^-1,slowing,0.07265843644755954,2
depth_1.2_sigma_1.1,1.2,1.1,post-fold flatter region,-4.120771324240154,-7.338502081203501,-8.501037064364453,7.1931852083083925,-2258.2542188647626,nan,mean=-0.095865532; min=-0.32338715; max=-0.00063605063 mm^-1,acceleration,0.07265843644755954,7
depth_1.2_sigma_1.5,1.2,1.5,pre-fold flatter region,0.0145754522225225,0.0,0.0,0.0728772611126125,0.1836594273167691,nan,mean=-0.090144926; min=-0.17979655; max=-0.020844009 mm^-1,no material difference,0.07287726111260948,5
depth_1.2_sigma_1.5,1.2,1.5,first shoulder/curvature-transition region,0.0,0.0,0.0,0.0,0.0020119906083285177,0.0,mean=-0.13267948; min=-0.20964631; max=-0.0067786979 mm^-1,no material difference,0.07287726111260948,4
depth_1.2_sigma_1.5,1.2,1.5,first sulcal bank,0.0,0.0,0.0,0.0,0.04614463479085518,0.0,mean=0.14841152; min=0.14841152; max=0.14841152 mm^-1,no material difference,0.07287726111260948,1
depth_1.2_sigma_1.5,1.2,1.5,fundus,1.3846679611395771,0.54657945834456,-1.8948087889278469,6.340321716797035,-0.15854640041506401,-0.12803232831997263,mean=0.42382901; min=0.34101786; max=0.50664016 mm^-1,slowing,0.07287726111260948,4
depth_1.2_sigma_1.5,1.2,1.5,opposite bank,7.069094327923125,7.069094327923125,7.069094327923125,7.069094327923125,-0.8442576440170502,-0.3628200347043813,mean=0.14841152; min=0.14841152; max=0.14841152 mm^-1,slowing,0.07287726111260948,1
depth_1.2_sigma_1.5,1.2,1.5,second shoulder/curvature-transition region,6.9233398056979,7.105532958479415,4.226881144531376,9.255412161301393,-6.713452773068559,-60.77234787168151,mean=-0.13267948; min=-0.20964631; max=-0.0067786979 mm^-1,slowing,0.07287726111260948,4
