check,passed,observed,expected,absolute_tolerance,note
speed paired subtraction,True,0.07229812441461503,0.07229812441461503,1e-12,
vertex no-dipole delay underlying arrivals,True,127.97306079574898,127.97306079574898,1e-12,
vertex dipole delay underlying arrivals,True,131.42098785350245,131.42098785350245,1e-12,
percentage denominator is no-dipole speed,True,-2.770924274055779,-2.770924274055779,1e-12,
mm/s to mm/min conversion,True,2.6091699831548576,2.6091699831548576,1e-12,factor 60 explicitly applied
paired physical readouts,True,same mesh object and frozen indices,same mesh object and frozen indices,0.0,
NPZ readout indices,True,"636,624","636,624",0.0,
CSV/JSON canonical speed agreement,True,2.6091699831548576,2.6091699831548576,1e-12,
difference array sign/data,True,saved delta array,dipole minus no dipole,0.0,
candidate figure exists: matched_maps.pdf,True,exists,exists,0.0,
candidate figure exists: matched_maps.svg,True,exists,exists,0.0,
candidate figure exists: matched_maps.png,True,exists,exists,0.0,
candidate figure exists: arrival_time_difference_map.pdf,True,exists,exists,0.0,
candidate figure exists: arrival_time_difference_map.svg,True,exists,exists,0.0,
candidate figure exists: arrival_time_difference_map.png,True,exists,exists,0.0,
candidate figure exists: paired_kymographs.pdf,True,exists,exists,0.0,
candidate figure exists: paired_kymographs.svg,True,exists,exists,0.0,
candidate figure exists: paired_kymographs.png,True,exists,exists,0.0,
candidate figure exists: path_arrival_and_deltaT.pdf,True,exists,exists,0.0,
candidate figure exists: path_arrival_and_deltaT.svg,True,exists,exists,0.0,
candidate figure exists: path_arrival_and_deltaT.png,True,exists,exists,0.0,
canonical baseline equals current archived pipeline,True,2.6091699831548576,2.6091699831548576,1e-12,
canonical dipole equals current archived pipeline,True,2.5368718587402426,2.5368718587402426,1e-12,
representative not mixed with stale table,True,2.6091699831548576,must differ from stale pre-revision value,1e-09,
flat control computed in driver,True,"computed speeds 3.374968083309892,3.374968083309892","computed, not inserted",0.0,
flat aligned kernel has zero effect,True,0.0,0.0,1e-12,
single-command driver exists,True,C:\work\CSD\scripts\reviewer_revision_analysis\run_all_revision_analyses.py,exists,0.0,
